Mapa de compras por fornecedor (detalhe);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Datas;2023-01-01 a 2023-12-31;;;;;;;;;;;;;;;;;;
Fornecedores;000000000 a zzzzzzzzz;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
NIF;Nome;Data;Tipo;Número;Vossa Ref.;Cod.;Descrição;Quantidade;Valor líquido;Valor;IVA;Moeda original;Taxa de câmbio;Valor líquido na moeda original;Valor na moeda original;IVA na moeda original;% de IVA;País/Região;Mercado
B80603269;CAPS SOLUCIONES INTEGRALES SL;2023-10-05;FC;FC 2023F/27;;SM002;Xiaomi 12T 6.7;16;4404,48;4404,48;0;EUR;1;4404,48;4404,48;0;0;Spain;Mercado Comunitário
B80603269;CAPS SOLUCIONES INTEGRALES SL;2023-10-05;FC;FC 2023F/27;;TC001;Disco SSD Externo SANDISK Portable E30;20;815,2;815,2;0;EUR;1;815,2;815,2;0;0;Spain;Mercado Comunitário
B80603269;CAPS SOLUCIONES INTEGRALES SL;2023-10-05;FC;FC 2023F/27;;TS003;TV LG OLED77C36LC;5;10588;10588;0;EUR;1;10588;10588;0;0;Spain;Mercado Comunitário
503638471;Castro Electrónica, Lda;2023-01-12;FC;FC 2023F/2;;ED004;Frigorífico Americano JOCEL;25;11415;14040,45;2625,45;EUR;1;11415;14040,45;2625,45;23;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-01-12;FC;FC 2023F/2;;ED007;DESUMIFICADOR DELONGHI;30;5250;6457,5;1207,5;EUR;1;5250;6457,5;1207,5;23;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-01-12;FC;FC 2023F/2;;ED005;SAGE ORACLE TOUCH;5;9919,35;12200,8;2281,45;EUR;1;9919,35;12200,8;2281,45;23;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-01-12;FC;FC 2023F/2;;ED008;Forno TEKA HLB 822 SS;15;4485;5516,55;1031,55;EUR;1;4485;5516,55;1031,55;23;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-04-04;FC;FC 2023F/7;;ED004;Frigorífico Americano JOCEL;10;5707,5;7020,23;1312,73;EUR;1;5707,5;7020,23;1312,73;23;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-04-04;FC;FC 2023F/7;;ED005;SAGE ORACLE TOUCH;5;12399,2;15251,02;2851,82;EUR;1;12399,2;15251,02;2851,82;23;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-04-04;FC;FC 2023F/7;;ED006;FLAIR 58 PLUS;10;5290;6506,7;1216,7;EUR;1;5290;6506,7;1216,7;23;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-04-04;FC;FC 2023F/7;;ED007;DESUMIFICADOR DELONGHI;15;3300;4059;759;EUR;1;3300;4059;759;23;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-04-04;FC;FC 2023F/7;;ED008;Forno TEKA HLB 822 SS;10;3737,5;3737,5;0;EUR;1;3737,5;3737,5;0;0;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-04-18;FC;FC 2023F/11;;ED004;Frigorífico Americano JOCEL;5;3709,9;3709,9;0;EUR;1;3709,9;3709,9;0;0;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-04-18;FC;FC 2023F/11;;ED005;SAGE ORACLE TOUCH;5;16118,95;16118,95;0;EUR;1;16118,95;16118,95;0;0;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-04-18;FC;FC 2023F/11;;ED006;FLAIR 58 PLUS;5;3438,5;3438,5;0;EUR;1;3438,5;3438,5;0;0;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-04-18;FC;FC 2023F/11;;ED007;DESUMIFICADOR DELONGHI;5;1430;1430;0;EUR;1;1430;1430;0;0;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-04-18;FC;FC 2023F/11;;ED008;Forno TEKA HLB 822 SS;5;2429,4;2429,4;0;EUR;1;2429,4;2429,4;0;0;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-04-18;FC;FC 2023F/11;;TS004;Auscultadores Headset RGB MHAX;5;125;125;0;EUR;1;125;125;0;0;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-04-18;FC;FC 2023F/11;;GA005;PS5 SLIM + FC24;5;2435;2435;0;EUR;1;2435;2435;0;0;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-04-18;FC;FC 2023F/11;;GA002;Xbox Series X;5;1875;1875;0;EUR;1;1875;1875;0;0;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-07-02;FC;FC 2023F/18;;ED004;Frigorífico Americano JOCEL;3;2225,94;2737,91;511,97;EUR;1;2225,94;2737,91;511,97;23;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-07-02;FC;FC 2023F/18;;ED006;FLAIR 58 PLUS;3;2063,1;2537,61;474,51;EUR;1;2063,1;2537,61;474,51;23;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-07-02;FC;FC 2023F/18;;ED007;DESUMIFICADOR DELONGHI;5;1430;1758,9;328,9;EUR;1;1430;1758,9;328,9;23;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-07-02;FC;FC 2023F/18;;ED008;Forno TEKA HLB 822 SS;3;1457,64;1792,9;335,26;EUR;1;1457,64;1792,9;335,26;23;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-10-05;FC;FC 2023F/28;;ED005;SAGE ORACLE TOUCH;13;23050,04;28351,55;5301,51;EUR;1;23050,04;28351,55;5301,51;23;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-10-05;FC;FC 2023F/28;;GA002;Xbox Series X;16;4290,08;5276,8;986,72;EUR;1;4290,08;5276,8;986,72;23;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-10-05;FC;FC 2023F/28;;TC002;Câmara de vigilância TP-LINK;15;514,8;633,2;118,4;EUR;1;514,8;633,2;118,4;23;Portugal - Continente;Mercado Nacional
503638471;Castro Electrónica, Lda;2023-10-05;FC;FC 2023F/28;;TS004;Auscultadores Headset RGB MHAX;22;393,36;483,83;90,47;EUR;1;393,36;483,83;90,47;23;Portugal - Continente;Mercado Nacional
505304775;Claranet datacenter;2023-01-11;FC;FC 2023F/5;;GA002;Xbox Series X;35;10500;12915;2415;EUR;1;10500;12915;2415;23;Portugal - Continente;Mercado Nacional
505304775;Claranet datacenter;2023-01-11;FC;FC 2023F/5;;GA003;"Monitor 27"" Nitro VG2 VG273 ACER";45;4824;5933,52;1109,52;EUR;1;4824;5933,52;1109,52;23;Portugal - Continente;Mercado Nacional
505304775;Claranet datacenter;2023-01-11;FC;FC 2023F/5;;GA004;Rato Gaming  TRUST;60;1752,6;2155,7;403,1;EUR;1;1752,6;2155,7;403,1;23;Portugal - Continente;Mercado Nacional
505304775;Claranet datacenter;2023-01-11;FC;FC 2023F/5;;GA005;PS5 SLIM + FC24;50;19500;23985;4485;EUR;1;19500;23985;4485;23;Portugal - Continente;Mercado Nacional
505304775;Claranet datacenter;2023-01-11;FC;FC 2023F/5;;TC001;Disco SSD Externo SANDISK Portable E30;90;4050;4981,5;931,5;EUR;1;4050;4981,5;931,5;23;Portugal - Continente;Mercado Nacional
505304775;Claranet datacenter;2023-01-11;FC;FC 2023F/5;;TC003;Placa Gráfica Radeon RX7600;30;7470;9188,1;1718,1;EUR;1;7470;9188,1;1718,1;23;Portugal - Continente;Mercado Nacional
505304775;Claranet datacenter;2023-01-11;FC;FC 2023F/5;;TS004;Auscultadores Headset RGB MHAX;90;1800;2214;414;EUR;1;1800;2214;414;23;Portugal - Continente;Mercado Nacional
505304775;Claranet datacenter;2023-04-16;FC;FC 2023F/8;;TC002;Câmara de vigilância TP-LINK;100;4800;5904;1104;EUR;1;4800;5904;1104;23;Portugal - Continente;Mercado Nacional
505304775;Claranet datacenter;2023-04-16;FC;FC 2023F/8;;TS003;TV LG OLED77C36LC;5;14808,4;18214,33;3405,93;EUR;1;14808,4;18214,33;3405,93;23;Portugal - Continente;Mercado Nacional
505304775;Claranet datacenter;2023-04-16;FC;FC 2023F/8;;TS001;"TV 65"" Neo QLED 8K QN900C";5;11250;13837,5;2587,5;EUR;1;11250;13837,5;2587,5;23;Portugal - Continente;Mercado Nacional
505304775;Claranet datacenter;2023-07-15;FC;FC 2023F/21;;GA004;Rato Gaming  TRUST;10;474,7;583,88;109,18;EUR;1;474,7;583,88;109,18;23;Portugal - Continente;Mercado Nacional
505304775;Claranet datacenter;2023-07-15;FC;FC 2023F/21;;GA003;"Monitor 27"" Nitro VG2 VG273 ACER";5;871;1071,33;200,33;EUR;1;871;1071,33;200,33;23;Portugal - Continente;Mercado Nacional
505304775;Claranet datacenter;2023-07-15;FC;FC 2023F/21;;TC002;Câmara de vigilância TP-LINK;5;312;383,76;71,76;EUR;1;312;383,76;71,76;23;Portugal - Continente;Mercado Nacional
505304775;Claranet datacenter;2023-07-15;FC;FC 2023F/21;;TS004;Auscultadores Headset RGB MHAX;5;162,5;199,88;37,38;EUR;1;162,5;199,88;37,38;23;Portugal - Continente;Mercado Nacional
505304775;Claranet datacenter;2023-07-15;FC;FC 2023F/21;;TC001;Disco SSD Externo SANDISK Portable E30;5;285;350,55;65,55;EUR;1;285;350,55;65,55;23;Portugal - Continente;Mercado Nacional
505304775;Claranet datacenter;2023-10-06;FC;FC 2023F/29;;ED006;FLAIR 58 PLUS;17;6430,08;7909;1478,92;EUR;1;6430,08;7909;1478,92;23;Portugal - Continente;Mercado Nacional
505304775;Claranet datacenter;2023-10-06;FC;FC 2023F/29;;ED008;Forno TEKA HLB 822 SS;21;5611,83;6902,55;1290,72;EUR;1;5611,83;6902,55;1290,72;23;Portugal - Continente;Mercado Nacional
505304775;Claranet datacenter;2023-10-06;FC;FC 2023F/29;;TC003;Placa Gráfica Radeon RX7600;16;3560,64;4379,59;818,95;EUR;1;3560,64;4379,59;818,95;23;Portugal - Continente;Mercado Nacional
506909034;Huawei Tech.portugal - Tecnologias de Informação, Lda;2023-01-05;FC;FC 2023F/4;;ED006;FLAIR 58 PLUS;10;4890;6014,7;1124,7;EUR;1;4890;6014,7;1124,7;23;Portugal - Continente;Mercado Nacional
506909034;Huawei Tech.portugal - Tecnologias de Informação, Lda;2023-01-05;FC;FC 2023F/4;;SM004;Reno 7 5G OPPO;50;11713;14406,99;2693,99;EUR;1;11713;14406,99;2693,99;23;Portugal - Continente;Mercado Nacional
506909034;Huawei Tech.portugal - Tecnologias de Informação, Lda;2023-01-05;FC;FC 2023F/4;;TC002;Câmara de vigilância TP-LINK;150;5700;7011;1311;EUR;1;5700;7011;1311;23;Portugal - Continente;Mercado Nacional
506909034;Huawei Tech.portugal - Tecnologias de Informação, Lda;2023-04-17;FC;FC 2023F/10;;GA002;Xbox Series X;10;3750;4612,5;862,5;EUR;1;3750;4612,5;862,5;23;Portugal - Continente;Mercado Nacional
506909034;Huawei Tech.portugal - Tecnologias de Informação, Lda;2023-04-17;FC;FC 2023F/10;;GA003;"Monitor 27"" Nitro VG2 VG273 ACER";10;1340;1648,2;308,2;EUR;1;1340;1648,2;308,2;23;Portugal - Continente;Mercado Nacional
506909034;Huawei Tech.portugal - Tecnologias de Informação, Lda;2023-04-17;FC;FC 2023F/10;;GA004;Rato Gaming  TRUST;10;365,1;449,07;83,97;EUR;1;365,1;449,07;83,97;23;Portugal - Continente;Mercado Nacional
506909034;Huawei Tech.portugal - Tecnologias de Informação, Lda;2023-04-17;FC;FC 2023F/10;;SM004;Reno 7 5G OPPO;10;2928,3;3601,81;673,51;EUR;1;2928,3;3601,81;673,51;23;Portugal - Continente;Mercado Nacional
506909034;Huawei Tech.portugal - Tecnologias de Informação, Lda;2023-04-17;FC;FC 2023F/10;;SM002;Xiaomi 12T 6.7;10;3850;4735,5;885,5;EUR;1;3850;4735,5;885,5;23;Portugal - Continente;Mercado Nacional
506909034;Huawei Tech.portugal - Tecnologias de Informação, Lda;2023-04-17;FC;FC 2023F/10;;GA005;PS5 SLIM + FC24;10;4870;5990,1;1120,1;EUR;1;4870;5990,1;1120,1;23;Portugal - Continente;Mercado Nacional
506909034;Huawei Tech.portugal - Tecnologias de Informação, Lda;2023-07-12;FC;FC 2023F/20;;SM002;Xiaomi 12T 6.7;5;2502,5;3078,08;575,58;EUR;1;2502,5;3078,08;575,58;23;Portugal - Continente;Mercado Nacional
506909034;Huawei Tech.portugal - Tecnologias de Informação, Lda;2023-07-12;FC;FC 2023F/20;;SM004;Reno 7 5G OPPO;10;3806,7;4682,24;875,54;EUR;1;3806,7;4682,24;875,54;23;Portugal - Continente;Mercado Nacional
506909034;Huawei Tech.portugal - Tecnologias de Informação, Lda;2023-10-09;FC;FC 2023F/30;;ED007;DESUMIFICADOR DELONGHI;11;1730,3;2128,27;397,97;EUR;1;1730,3;2128,27;397,97;23;Portugal - Continente;Mercado Nacional
506909034;Huawei Tech.portugal - Tecnologias de Informação, Lda;2023-10-09;FC;FC 2023F/30;;TS003;TV LG OLED77C36LC;5;10588;13023,24;2435,24;EUR;1;10588;13023,24;2435,24;23;Portugal - Continente;Mercado Nacional
506909034;Huawei Tech.portugal - Tecnologias de Informação, Lda;2023-10-09;FC;FC 2023F/30;;TC001;Disco SSD Externo SANDISK Portable E30;20;815,2;1002,7;187,5;EUR;1;815,2;1002,7;187,5;23;Portugal - Continente;Mercado Nacional
506909034;Huawei Tech.portugal - Tecnologias de Informação, Lda;2023-10-09;FC;FC 2023F/30;;TS001;"TV 65"" Neo QLED 8K QN900C";9;14478,75;17808,86;3330,11;EUR;1;14478,75;17808,86;3330,11;23;Portugal - Continente;Mercado Nacional
501325301;SAMSUNG - ELECTRONICA PORTUGUESA UNIPESSOAL LDA;2023-01-09;FC;FC 2023F/3;;TS001;"TV 65"" Neo QLED 8K QN900C";5;9000;11070;2070;EUR;1;9000;11070;2070;23;Portugal - Continente;Mercado Nacional
501325301;SAMSUNG - ELECTRONICA PORTUGUESA UNIPESSOAL LDA;2023-01-09;FC;FC 2023F/3;;TS003;TV LG OLED77C36LC;3;7108,02;8742,86;1634,84;EUR;1;7108,02;8742,86;1634,84;23;Portugal - Continente;Mercado Nacional
501325301;SAMSUNG - ELECTRONICA PORTUGUESA UNIPESSOAL LDA;2023-01-09;FC;FC 2023F/3;;SM002;Xiaomi 12T 6.7;20;6160;7576,8;1416,8;EUR;1;6160;7576,8;1416,8;23;Portugal - Continente;Mercado Nacional
501325301;SAMSUNG - ELECTRONICA PORTUGUESA UNIPESSOAL LDA;2023-01-09;FC;FC 2023F/3;;SM003;Samsung S24 Ultra;10;8000;9840;1840;EUR;1;8000;9840;1840;23;Portugal - Continente;Mercado Nacional
501325301;SAMSUNG - ELECTRONICA PORTUGUESA UNIPESSOAL LDA;2023-04-19;FC;FC 2023F/9;;TS004;Auscultadores Headset RGB MHAX;150;3750;4612,5;862,5;EUR;1;3750;4612,5;862,5;23;Portugal - Continente;Mercado Nacional
501325301;SAMSUNG - ELECTRONICA PORTUGUESA UNIPESSOAL LDA;2023-04-19;FC;FC 2023F/9;;TC003;Placa Gráfica Radeon RX7600;5;1556,25;1914,19;357,94;EUR;1;1556,25;1914,19;357,94;23;Portugal - Continente;Mercado Nacional
501325301;SAMSUNG - ELECTRONICA PORTUGUESA UNIPESSOAL LDA;2023-04-19;FC;FC 2023F/9;;TC001;Disco SSD Externo SANDISK Portable E30;50;2850;3505,5;655,5;EUR;1;2850;3505,5;655,5;23;Portugal - Continente;Mercado Nacional
501325301;SAMSUNG - ELECTRONICA PORTUGUESA UNIPESSOAL LDA;2023-04-19;FC;FC 2023F/9;;SM003;Samsung S24 Ultra;5;5000;6150;1150;EUR;1;5000;6150;1150;23;Portugal - Continente;Mercado Nacional
501325301;SAMSUNG - ELECTRONICA PORTUGUESA UNIPESSOAL LDA;2023-07-06;FC;FC 2023F/19;;SM003;Samsung S24 Ultra;5;6500;7995;1495;EUR;1;6500;7995;1495;23;Portugal - Continente;Mercado Nacional
501325301;SAMSUNG - ELECTRONICA PORTUGUESA UNIPESSOAL LDA;2023-07-06;FC;FC 2023F/19;;TS001;"TV 65"" Neo QLED 8K QN900C";2;5850;7195,5;1345,5;EUR;1;5850;7195,5;1345,5;23;Portugal - Continente;Mercado Nacional
501325301;SAMSUNG - ELECTRONICA PORTUGUESA UNIPESSOAL LDA;2023-10-10;FC;FC 2023F/31;;SM003;Samsung S24 Ultra;20;14300;17589;3289;EUR;1;14300;17589;3289;23;Portugal - Continente;Mercado Nacional
501325301;SAMSUNG - ELECTRONICA PORTUGUESA UNIPESSOAL LDA;2023-10-10;FC;FC 2023F/31;;SM004;Reno 7 5G OPPO;25;5234,25;6438,13;1203,88;EUR;1;5234,25;6438,13;1203,88;23;Portugal - Continente;Mercado Nacional
501325301;SAMSUNG - ELECTRONICA PORTUGUESA UNIPESSOAL LDA;2023-10-11;FC;FC 2023F/32;;TS003;TV LG OLED77C36LC;6;12705,6;15627,89;2922,29;EUR;1;12705,6;15627,89;2922,29;23;Portugal - Continente;Mercado Nacional
501325301;SAMSUNG - ELECTRONICA PORTUGUESA UNIPESSOAL LDA;2023-10-11;FC;FC 2023F/32;;TS001;"TV 65"" Neo QLED 8K QN900C";8;12870;15830,1;2960,1;EUR;1;12870;15830,1;2960,1;23;Portugal - Continente;Mercado Nacional
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
